City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.39,81,100,18.32,light rain
1,Juba,SS,4.8517,31.5825,72.23,82,38,3.89,light rain
2,Progreso,MX,21.2833,-89.6667,88.11,73,14,12.88,few clouds
3,Sitka,US,57.0531,-135.33,46.29,76,90,16.11,moderate rain
4,Kuusamo,FI,65.9667,29.1833,44.64,93,90,6.91,overcast clouds
5,Iberia,US,29.9502,-91.7507,86.09,58,1,6.91,clear sky
6,Busselton,AU,-33.65,115.3333,41.09,80,95,7.61,overcast clouds
7,Lata,PT,40.1629,-8.3327,61.07,80,53,2.53,broken clouds
8,Vaini,TO,-21.2,-175.2,80.76,78,20,5.75,light rain
9,Hopewell,US,37.3043,-77.2872,68.61,92,100,7.85,overcast clouds
10,Kodiak,US,57.79,-152.4072,51.31,50,90,19.57,overcast clouds
11,Mahebourg,MU,-20.4081,57.7,73.26,76,16,18.88,few clouds
12,Chokurdakh,RU,70.6333,147.9167,1.63,100,96,5.3,overcast clouds
13,Mapimi,MX,25.8167,-103.85,90.37,16,0,4.85,clear sky
14,Hilo,US,19.7297,-155.09,78.8,85,90,10.36,heavy intensity rain
15,Hasaki,JP,35.7333,140.8333,66.6,82,22,3.67,few clouds
16,Avarua,CK,-21.2078,-159.775,78.85,57,23,5.75,few clouds
17,Cape Town,ZA,-33.9258,18.4232,60.12,61,0,11.59,clear sky
18,Barrow,US,71.2906,-156.7887,32.02,74,90,6.91,overcast clouds
19,Severnyy,RU,50.677,36.5532,37.44,60,0,6.71,clear sky
20,Albany,US,42.6001,-73.9662,63.63,76,100,1.01,overcast clouds
21,Port Elizabeth,ZA,-33.918,25.5701,59.09,75,12,13.13,light rain
22,Uarini,BR,-2.99,-65.1083,89.55,78,99,1.9,overcast clouds
23,Castro,BR,-24.7911,-50.0119,56.32,99,100,6.46,heavy intensity rain
24,Bambous Virieux,MU,-20.3428,57.7575,73.22,76,12,18.28,few clouds
25,Molepolole,BW,-24.4066,25.4951,71.33,12,1,10.8,clear sky
26,Mastic Beach,US,40.7668,-72.8521,65.12,81,90,1.01,overcast clouds
27,Tura,IN,25.5198,90.2201,73.24,86,1,2.04,clear sky
28,Labuhan,ID,-6.8844,112.2051,77.59,80,68,8.63,broken clouds
29,New Norfolk,AU,-42.7826,147.0587,50.92,57,52,3.0,broken clouds
30,Bethel,US,41.3712,-73.414,63.75,83,90,1.99,overcast clouds
31,Georgetown,MY,5.4112,100.3354,79.9,90,20,0.0,few clouds
32,Martapura,ID,-3.4167,114.85,75.29,100,100,1.14,mist
33,Camacha,PT,33.0833,-16.3333,69.22,73,40,13.8,scattered clouds
34,Kaitangata,NZ,-46.2817,169.8464,55.94,56,1,2.68,clear sky
35,Temiscaming,CA,46.7212,-79.0971,66.67,96,100,8.12,overcast clouds
36,Yellowknife,CA,62.456,-114.3525,43.41,99,100,8.99,light rain
37,Agua Blanca,GT,14.5,-89.65,84.99,81,97,3.42,overcast clouds
38,La Ronge,CA,55.1001,-105.2842,58.46,28,84,7.63,broken clouds
39,Ushuaia,AR,-54.8,-68.3,49.66,71,75,28.77,light intensity drizzle
40,Kapaa,US,22.0752,-159.319,84.18,69,75,5.99,broken clouds
41,Isangel,VU,-19.55,169.2667,74.77,67,31,15.14,scattered clouds
42,Kamaishi,JP,39.2667,141.8833,64.35,86,89,12.03,overcast clouds
43,Thompson,CA,55.7435,-97.8558,55.92,36,1,8.39,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,55.51,54,40,31.07,light rain
45,Laguna,US,38.421,-121.4238,77.23,37,1,3.0,clear sky
46,Makakilo City,US,21.3469,-158.0858,82.72,65,75,18.41,light intensity drizzle
47,Eluru,IN,16.7,81.1,77.63,88,42,4.72,scattered clouds
48,Carnarvon,AU,-24.8667,113.6333,55.47,71,0,10.36,clear sky
49,Anahuac,MX,27.2333,-100.15,92.7,26,0,15.59,clear sky
50,Ilulissat,GL,69.2167,-51.1,30.22,47,40,8.05,scattered clouds
51,Baykit,RU,61.67,96.37,33.37,84,100,18.39,light snow
52,Penon Blanco,MX,24.7897,-104.0369,83.75,25,4,5.88,clear sky
53,Namibe,AO,-15.1961,12.1522,65.46,76,7,5.3,clear sky
54,Bell Ville,AR,-32.6259,-62.6887,69.67,38,5,8.46,clear sky
55,Leningradskiy,RU,69.3833,178.4167,18.3,94,99,4.16,overcast clouds
56,Ribeira Grande,PT,38.5167,-28.7,71.15,79,64,19.55,broken clouds
57,Paamiut,GL,61.994,-49.6678,35.4,53,85,2.33,overcast clouds
58,Ahuimanu,US,21.4447,-157.8378,83.91,67,90,27.63,light rain
59,Flinders,AU,-34.5833,150.8552,67.21,80,75,4.0,broken clouds
60,Sorland,NO,67.667,12.6934,51.46,97,100,33.15,overcast clouds
61,Faya,SA,18.3851,42.4509,64.92,45,7,10.25,clear sky
62,Bluff,NZ,-46.6,168.3333,56.8,68,64,6.85,broken clouds
63,Fort Nelson,CA,58.8053,-122.7002,54.81,30,91,10.74,overcast clouds
64,Hovd,MN,48.0056,91.6419,30.78,40,0,1.86,clear sky
65,Chiautla,MX,19.5333,-98.8833,76.95,49,61,6.67,broken clouds
66,Longyearbyen,SJ,78.2186,15.6401,17.44,86,20,10.36,few clouds
67,Walvis Bay,NA,-22.9575,14.5053,56.08,77,0,5.82,clear sky
68,Baghdad,IQ,33.3406,44.4009,66.11,32,0,8.05,clear sky
69,Yulara,AU,-25.2406,130.9889,64.24,63,100,17.27,overcast clouds
70,Mataura,NZ,-46.1927,168.8643,56.48,52,5,2.98,clear sky
71,Victoria,HK,22.2855,114.1577,81.25,92,100,10.0,light rain
72,Mayo,US,38.8876,-76.5119,72.03,75,20,11.99,few clouds
73,Hobart,AU,-42.8794,147.3294,51.26,59,20,1.99,few clouds
74,Kieta,PG,-6.2167,155.6333,82.11,78,54,4.34,broken clouds
75,Lompoc,US,34.6391,-120.4579,78.94,52,1,20.71,clear sky
76,Tevaitoa,PF,-16.7833,-151.5,77.99,70,10,3.96,clear sky
77,Grand Gaube,MU,-20.0064,57.6608,73.38,72,1,10.0,clear sky
78,Hithadhoo,MV,-0.6,73.0833,82.56,69,100,9.48,overcast clouds
79,Saskylakh,RU,71.9167,114.0833,6.82,99,100,2.95,overcast clouds
80,Butaritari,KI,3.0707,172.7902,82.76,67,99,11.77,overcast clouds
81,Gustrow,DE,53.7972,12.1734,48.97,93,14,3.44,few clouds
82,Togur,RU,58.3631,82.8265,35.37,87,100,7.52,overcast clouds
83,Margate,GB,51.3813,1.3862,54.3,72,6,4.74,clear sky
84,Bara,NG,10.3744,10.7288,77.29,72,98,4.16,overcast clouds
85,Iqaluit,CA,63.7506,-68.5145,34.7,93,97,0.72,overcast clouds
86,Boguchany,RU,58.3814,97.4531,34.92,80,84,13.89,broken clouds
87,Tibati,CM,6.4667,12.6333,68.47,96,100,0.96,light rain
88,Cradock,ZA,-32.1642,25.6192,50.32,77,16,5.06,few clouds
89,Provideniya,RU,64.3833,-173.3,31.55,75,28,4.83,scattered clouds
90,Olafsvik,IS,64.8945,-23.7142,41.7,84,78,15.9,broken clouds
91,Caconda,AO,-13.7333,15.0667,70.14,38,15,1.14,few clouds
92,Point Pedro,LK,9.8167,80.2333,82.09,80,100,17.36,overcast clouds
93,Santa Maria,BR,-29.6842,-53.8069,63.32,89,100,10.4,overcast clouds
94,Karatau,KZ,43.1667,70.4667,48.31,69,100,8.48,overcast clouds
95,Cidreira,BR,-30.1811,-50.2056,63.72,86,100,19.24,overcast clouds
96,Tuatapere,NZ,-46.1333,167.6833,56.82,52,50,4.81,scattered clouds
97,Saldanha,ZA,-33.0117,17.9442,57.6,78,2,13.69,clear sky
98,Waitati,NZ,-45.75,170.5667,55.8,70,1,5.14,clear sky
99,Nikolskoye,RU,59.7035,30.7861,53.87,84,98,5.35,overcast clouds
100,Upernavik,GL,72.7868,-56.1549,32.7,57,99,15.19,overcast clouds
101,Rocha,UY,-34.4833,-54.3333,52.97,85,1,6.78,clear sky
102,Atuona,PF,-9.8,-139.0333,78.12,71,9,18.5,clear sky
103,Swan Hill,AU,-35.3378,143.5544,50.36,78,100,12.06,overcast clouds
104,Krasnoselkup,RU,65.7,82.4667,25.7,73,96,15.26,overcast clouds
105,Mar Del Plata,AR,-38.0023,-57.5575,55.0,67,0,17.0,clear sky
106,Mana,GF,5.6592,-53.7767,81.66,80,100,10.98,overcast clouds
107,Puerto Ayora,EC,-0.7393,-90.3518,76.96,85,83,7.0,broken clouds
108,Port Alfred,ZA,-33.5906,26.891,59.94,73,10,17.52,clear sky
109,Yelan-Koleno,RU,51.1523,41.2306,42.62,59,99,5.08,overcast clouds
110,Khovu-Aksy,RU,51.1333,93.6,26.22,79,4,5.82,clear sky
111,Zhuhai,CN,22.2769,113.5678,80.98,100,75,20.71,heavy intensity shower rain
112,Luderitz,NA,-26.6481,15.1594,63.9,55,76,14.05,broken clouds
113,Amuntai,ID,-2.4177,115.2494,74.59,93,92,1.25,overcast clouds
114,Seguela,CI,7.9611,-6.6731,73.94,89,26,4.92,scattered clouds
115,Ligayan,PH,4.6533,119.4706,82.81,76,94,3.67,moderate rain
116,Poum,NC,-20.2333,164.0167,74.01,62,12,11.43,few clouds
117,Pevek,RU,69.7008,170.3133,24.91,93,100,3.18,overcast clouds
